date,precio_sp500,activos_totales,deuda,equity,ltv_actual,retorno_mensual,intereses_pagados,margin_call,margin_call_amount,fue_liquidado,equity_return,equity_drawdown
2007-01-01,1438.239990234375,20000.0,10029.166666666666,9970.833333333334,0.5014583333333333,0.0,29.166666666666668,False,0.0,False,-0.0029166666666665675,0.0
2007-02-01,1406.8199462890625,19563.07648016111,10058.418402777777,9504.658077383334,0.5141532014649131,-0.021846175991944383,29.25173611111111,False,0.0,False,-0.049534192261666665,-0.04675389111073966
2007-03-01,1420.8599853515625,19758.31564967151,10087.755456452545,9670.560193218964,0.5105574602266393,0.009979982939206433,29.33705367476852,False,0.0,False,-0.03294398067810367,-0.03011514986521054
2007-04-01,1482.3699951171875,20613.66677581564,10117.178076533864,10496.488699281776,0.49079953540354776,0.043290690426759815,29.422620081319923,False,0.0,False,0.04964886992817763,0.0
2007-05-01,1530.6199951171875,21284.625730199008,10146.686512590422,11137.939217608586,0.4767143496535211,0.032549228707361655,29.508436056557105,False,0.0,False,0.11379392176085856,0.0
2007-06-01,1503.3499755859375,20905.41197287877,10176.281014918812,10729.130957959958,0.4867773487612113,-0.01781632254788501,29.59450232838873,False,0.0,False,0.07291309579599581,-0.0367041201843084
2007-07-01,1455.27001953125,20236.81763005491,10205.961834545658,10030.855795509251,0.5043264223218661,-0.03198187836198829,29.680819626846535,False,0.0,False,0.0030855795509250328,-0.09939750976096953
2007-08-01,1473.989990234375,20497.135391071613,10235.72922322975,10261.406167841864,0.4993736455333339,0.012863572018857905,29.767388684091504,False,0.0,False,0.026140616784186443,-0.07869795593613603
2007-09-01,1526.75,21230.81002289752,10265.58343346417,10965.22658943335,0.48352292834765576,0.03579400817860079,29.854210234420105,False,0.0,False,0.096522658943335,-0.015506695161541583
2007-10-01,1549.3800048828125,21545.500269816945,10295.52471847844,11249.975551338504,0.47785034413433525,0.014822338223554832,29.941285014270495,False,0.0,False,0.12499755513385047,0.0
2007-11-01,1481.1400146484375,20596.562808785082,10325.553332240668,10271.009476544414,0.501324100924087,-0.04404341737941575,30.028613762228787,False,0.0,False,0.027100947654441265,-0.08701939576016365
2007-12-01,1468.3599853515625,20418.84519025617,10355.669529459703,10063.175660796465,0.5071623509052023,-0.008628508561297932,30.116197219035282,False,0.0,False,0.006317566079646619,-0.10549355286384027
2008-01-01,1378.550048828125,19169.958535271668,10385.873565587293,8784.084969684374,0.5417786139953229,-0.06116343227776988,30.2040361275908,False,0.0,False,-0.12159150303156252,-0.21919075027329657
2008-02-01,1330.6300048828125,18503.58791186127,10416.165696820257,8087.422215041011,0.5629268089213785,-0.03476119273728817,30.29213123296294,False,0.0,False,-0.19125777849589887,-0.28111646304166565
2008-03-01,1322.699951171875,18393.31349639817,10446.546180102649,7946.76731629552,0.5679534675548439,-0.005959623397817415,30.38048328239242,False,0.0,False,-0.205323268370448,-0.2936191478789458
2008-04-01,1385.5899658203125,19267.85481183175,10477.015273127949,8790.8395387038,0.5437561874658907,0.047546697641229096,30.469093025299394,False,0.0,False,-0.12091604612962004,-0.21859034283342246
2008-05-01,1400.3800048828125,19473.523395140848,10507.573234341238,8965.95016079961,0.5395825409264742,0.01067418170406853,30.55796121328985,False,0.0,False,-0.10340498392003905,-0.20302492037568426
2008-06-01,1280.0,17799.532883123513,10538.2203229414,7261.312560182112,0.5920503864982396,-0.08596238482631446,30.647088600161947,False,0.0,False,-0.27386874398178884,-0.3545485919462134
2008-07-01,1267.3800048828125,17624.040681503797,10568.956798883313,7055.083882620484,0.5996897641058726,-0.009859371185302779,30.73647594191242,False,0.0,False,-0.2944916117379517,-0.3728800697899223
2008-08-01,1282.8299560546875,17838.88592675883,10599.782922880057,7239.103003878774,0.5941953419288412,0.012190464669121548,30.826123996743,False,0.0,False,-0.2760896996121226,-0.356522779019064
2008-09-01,1166.3599853515625,16219.267900644216,10630.698956405124,5588.568944239092,0.655436424228672,-0.09079143354379215,30.916033525066833,False,0.0,False,-0.4411431055760908,-0.5032372364956675
2008-10-01,968.75,13471.326156660862,10661.70516169464,2809.6209949662225,0.7914369407812896,-0.16942452401777075,31.006205289514945,False,0.0,False,-0.7190379005033778,-0.7502553688099404
2008-11-01,896.239990234375,12463.010294802387,10692.801801749582,1770.2084930528054,0.8579630080389921,-0.0748490423387097,31.0966400549427,False,0.0,False,-0.8229791506947195,-0.8426477919907844
2008-12-01,903.25,12560.490684907276,10723.989140338017,1836.5015445692588,0.8537874362841569,0.007821576633499472,31.18733858843628,False,0.0,False,-0.8163498455430741,-0.8367550634942709
2009-01-01,825.8800048828125,11484.59242533268,10755.267441997335,729.3249833353439,0.9364953533982973,-0.08565734305805428,31.27830165931922,False,0.0,False,-0.9270675016664656,-0.9351709717050389
2009-02-01,735.0900268554688,10222.077425835987,10786.636972036495,0.0,1.0,-0.10993119762019943,31.369530039158896,True,10222.077425835987,True,-1.0,-1.0
